Class,Taxon,DBHMin,DBHMax,Model,B0,B1,B2
Species,Pyrus calleryana,1.1,15.6,B0 + (DBH * B1),10.5106,1.6266,
Species,Quercus alba,1,30,B0 + (DBH * B1) + (DBH2 * B2),11.3288,5.2509,-0.0868
Species,Quercus falcata,1,37,e(B0 + (ln(DBH) * B1)),2.7638,0.4974,
Species,Quercus nigra,1,27,B0 + (DBH * B1) + (DBH2 * B2),13.7152,4.1217,-0.0753
Species,Quercus palustris,1,40.1,e(B0 + (ln(DBH) * B1)),2.4768,0.6079,
Species,Quercus phellos,1.2,54.2,e(B0 + (ln(DBH) * B1)),2.3827,0.6018,
Species,Quercus prinus,1.8,41.5,e(B0 + (ln(DBH) * B1)),2.6032,0.5449,
Species,Quercus rubra,1,37,B0 + (DBH * B1) + (DBH2 * B2),12.5945,4.3658,-0.0594
Species,Quercus stellata,1,28,e(B0 + (ln(DBH) * B1)),2.5234,0.5601,
Species,Quercus velutina,1,32,B0 + (DBH * B1) + (DBH2 * B2),9.2622,4.8707,-0.0765
Species,Quercus virginiana,2.7,50.3,e(B0 + (ln(DBH) * B1)),2.2789,0.4319,
Species,Rhamnus cathartica,1,16.4,e(B0 + (ln(DBH) * B1)),2.6402,0.1898,
Species,Rhus hirta,1,5,B0 + (DBH * B1) + (DBH2* B2),4.2632,6.9728,-0.6906
Species,Robinia pseudoacacia,1,24,B0 + (DBH * B1) + (DBH2 * B2),6.9592,5.7702,-0.1203
Species,Salix nigra,1.2,25.2,e(B0 + (ln(DBH) * B1)),2.6306,0.4739,
Species,Salix sericea,1,29.3,e(B0 + (ln(DBH) * B1)),2.6269,0.3717,
Species,Syringa vulgaris,1.1,10.1,B0 + (ln(DBH) * B1),12.1013,5.2485,
Species,Thuja occidentalis,1,35.6,B0 + (DBH * B1),5.8337,2.1101,
Species,Tilia americana,1,27,B0 + (DBH * B1) + (DBH2 * B2),9.8287,4.5034,-0.0843
Species,Tilia cordata,2.4,27,B0 + (ln(DBH) * B1),-4.0394,14.3333,
Species,Tsuga canadensis,1.1,25,B0 + (DBH * B1) + (DBH2 * B2),1.2021,5.1368,-0.1035
Species,Ulmus alata,1,24,e(B0 + (ln(DBH) * B1)),2.4175,0.579,
Species,Ulmus americana,1,38,e(B0 + (ln(DBH) * B1)),2.5502,0.5341,
Species,Ulmus crassifolia,1,17,B0 + (DBH * B1) + (DBH2 * B2),7.1054,4.3431,-0.0949
Species,Ulmus pumila,1,36,e(B0 + (ln(DBH) * B1)),2.3164,0.6227,
Species,Ulmus rubra,1.1,26,B0 + (DBH * B1) + (DBH2 * B2),8.3578,4.4572,-0.0845
