Class,Taxon,DBH-Min,DBH-Max,Model,B0,B1,B2
Species,Quercus palustris,1,40.1,B0 + (DBH * B1) + (DBH2 * B2),7.7679,1.7229,-0.011
Species,Quercus phellos,1.2,37,B0 + (DBH * B1) + (DBH2 * B2),3.8672,2.1683,-0.0297
Species,Quercus prinus,1.8,41.5,e(B0 + (ln(DBH) * B1)),2.1046,0.4575,
Species,Quercus rubra,1,67,B0 + (DBH * B1) + (DBH2 * B2),6.5916,1.7597,-0.011
Species,Quercus stellata,1,28,e(B0 + (ln(DBH) * B1)),1.1202,0.8338,
Species,Quercus velutina,1,54.6,B0 + (DBH * B1) + (DBH2 * B2),4.7156,1.8432,-0.0116
Species,Quercus virginiana,2.7,50.3,B0 + (DBH * B1) + (DBH2 * B2),4.905,1.959,-0.0166
Species,Rhamnus cathartica,1,16.4,e(B0 + (ln(DBH) * B1)),1.6671,0.5227,
Species,Rhus hirta,1,9.8,e(B0 + (ln(DBH) * B1)),1.6611,0.4203,
Species,Robinia pseudoacacia,1,27,B0 + (DBH * B1) + (DBH2 * B2),6.4707,2.0431,-0.0381
Species,Salix nigra,1.2,25.2,e(B0 + (ln(DBH) * B1)),1.6136,0.6141,
Species,Salix sericea,1,29.3,e(B0 + (ln(DBH) * B1)),1.5732,0.6126,
Species,Syringa vulgaris,1.1,10.1,e(B0 + (ln(DBH) * B1)),1.6104,0.454,
Species,Thuja occidentalis,1,35.6,B0 + (DBH * B1) + (DBH2 * B2),1.8741,1.0552,-0.0141
Species,Tilia americana,1,40,B0 + (DBH * B1) + (DBH2 * B2),5.2194,1.8045,-0.0195
Species,Tilia cordata,2.4,27,B0 + (ln(DBH) * B1),-11.1093,14.6509,
Species,Tsuga canadensis,1.1,36,B0 + (DBH * B1) + (DBH2 * B2),2.9619,1.7751,-0.0242
Species,Ulmus alata,1,24,e(B0 + (ln(DBH) * B1)),1.5054,0.7179,
Species,Ulmus americana,1,38,B0 + (DBH * B1) + (DBH2 * B2),5.642,2.0847,-0.0193
Species,Ulmus crassifolia,1,17,B0 + (DBH * B1) + (DBH2 * B2),3.8747,1.9785,-0.0015
Species,Ulmus pumila,1,36,B0 + (DBH * B1),2.7381,1.6825,
Species,Ulmus rubra,1.1,37,e(B0 + (ln(DBH) * B1)),2.1143,0.4987,
